run_name,family,allow_reflection,patch_size,embedding_dim,temperature,negative_min_offset,negative_max_offset,half_width,num_negatives,train_size,val_size,test_size,batch_size,num_epochs,patience,lr,weight_decay,val_loss,val_positive_similarity_mean,val_negative_similarity_mean,val_logits_mean,val_hardest_negative_similarity_mean,val_positive_minus_hardest_negative_mean,val_similarity_gap,val_num_samples_evaluated,test_loss,test_positive_similarity_mean,test_negative_similarity_mean,test_logits_mean,test_hardest_negative_similarity_mean,test_positive_minus_hardest_negative_mean,test_similarity_gap,test_num_samples_evaluated
run_020_fam-euclidean_patch-9_emb-128_temp-0.07_neg-15-40,euclidean,False,9,128,0.07,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.5594631417592366,0.9646345769564311,0.07447678112983704,0.3565953996181488,0.5487240762710571,0.4159105021158854,0.890157795826594,3000,1.5586633291244507,0.9646301576296489,0.0747403271595637,0.3568099088668823,0.54895050684611,0.4156796526114146,0.8898898304700852,3000
run_001_fam-euclidean_patch-9_emb-64_temp-0.05_neg-6-30,euclidean,False,9,64,0.05,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.5624887787501016,0.9729828448295593,0.22333551156520842,0.38760014128685,0.7429801847139994,0.23000265284379323,0.749647333264351,3000,1.5619478181203206,0.9729736326535543,0.22357372081279756,0.3874285622437795,0.7431537636121114,0.22981986486911773,0.7493999118407567,3000
run_013_fam-euclidean_patch-9_emb-128_temp-0.05_neg-6-30,euclidean,False,9,128,0.05,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.5632471504211425,0.9742250847816467,0.22545527565479279,0.7009230841000875,0.7396091232299805,0.2346159553527832,0.748769809126854,3000,1.562217430750529,0.9742437442143758,0.22571219877401988,0.7019133207003275,0.7397485189437866,0.2344952208995819,0.7485315454403558,3000
run_037_fam-euclidean_patch-11_emb-128_temp-0.05_neg-6-30,euclidean,False,11,128,0.05,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.590605143547058,0.970629514058431,0.18199689988295237,0.39069541629155474,0.7218983461062114,0.24873115650812785,0.7886326141754787,3000,1.5901218328475952,0.9706278988520305,0.18221908473968507,0.3914818345705668,0.7219045839309692,0.24872332402070363,0.7884088141123454,3000
run_030_fam-euclidean_patch-11_emb-64_temp-0.07_neg-6-40,euclidean,False,11,64,0.07,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6083904450734456,0.9651532514890035,0.12381750124692917,0.2525809907118479,0.6761498109499613,0.2890034252802531,0.8413357502420744,3000,1.6077374795277914,0.9651568608283997,0.12396300572156906,0.25295135895411175,0.6761258257230123,0.28903103216489157,0.8411938551068306,3000
run_032_fam-euclidean_patch-11_emb-64_temp-0.07_neg-15-40,euclidean,False,11,64,0.07,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6116806418100993,0.9742431948979695,0.0646291498541832,0.1960704485575358,0.5606738888422648,0.4135692958831787,0.9096140450437863,3000,1.6112564624150594,0.9742510679562887,0.06478332208593686,0.19614501718680064,0.5606987147331238,0.4135523633956909,0.9094677458703518,3000
run_036_fam-euclidean_patch-11_emb-64_temp-0.1_neg-15-40,euclidean,False,11,64,0.1,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.629968626022339,0.9521195486386617,0.05872796380519867,0.1623638422091802,0.4907662998835246,0.46135324438412983,0.893391584833463,3000,1.629607899983724,0.9521240461667378,0.058947824776172636,0.16184684133529664,0.4909264537493388,0.46119759424527484,0.8931762213905652,3000
run_044_fam-euclidean_patch-11_emb-128_temp-0.07_neg-15-40,euclidean,False,11,128,0.07,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6365042813618977,0.9680069241523742,0.06839132020870844,0.3936259031295776,0.5569706729253133,0.4110362381140391,0.8996156039436658,3000,1.6355068794886272,0.968004025777181,0.06860469406843185,0.3934313734372457,0.5570352643330891,0.4109687589009603,0.8993993317087492,3000
run_034_fam-euclidean_patch-11_emb-64_temp-0.1_neg-6-40,euclidean,False,11,64,0.1,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6371724468866984,0.9600519123077392,0.12037183769543966,0.10453025555610657,0.6345042066574097,0.3255476961930593,0.8396800746122995,3000,1.6364159886042278,0.9600521858533223,0.12047631166378657,0.10395276085535685,0.6344612833658854,0.3255908879439036,0.8395758741895357,3000
run_029_fam-euclidean_patch-11_emb-64_temp-0.07_neg-6-30,euclidean,False,11,64,0.07,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6431098804473876,0.9626486366589864,0.16587690075238545,0.2424678310553233,0.6880947141647339,0.2745539232095083,0.7967717359066009,3000,1.6422209246953328,0.9626469883918762,0.16607596000035604,0.2419438687960307,0.6880892964998881,0.2745576937198639,0.7965710283915202,3000
